Title,Body,"Published by","Authored by","Is featured","Calls to action","Featured Image (Url)","Knowledge base download","Knowledge Source",Topics,Commodities,"Evidence types","Geographical area","Innovations categories","SDG Focus",Sectors,"Value chain stages","Resource types",Published,"Authored on","Created By","Publication Date","Domain Access","Promoted to front page","Sticky at top of lists",ID,Link,"Knowledge Source Initiative",ISO3
"Livestock and Fish Value Chain Assessment Toolkit (version 2)","Livestock and Fish value chains are unique and have distinct features. For instance, the products, such as milk and meat, are of higher value and in some cases are bulky and highly perishable. Also, delivery of some inputs and services such as animal health service is costly. In addition, at the livestock keepers’ level, livestock are predominantly multi-functional, often kept not only to produce milk or meat for home consumption and sale, but also to produce manure for fertilizing croplands, to pull ploughs and are also considered a major capital assets. For this reason, livestock keepers’ decisions in terms of type and level of participation in a value chain is influenced by many factors.
The uniqueness of the livestock and fish value chains compared to other value chains makes it paramount for researchers and development practitioners to use highly targeted tools, specialized and tailored to guide research and development interventions.
While all the value chain assessment tools developed and used in the course of the Livestock and Fish program implementation have been availed in an online working space, there was a need to document, organize and describe how to use these tools.
The toolkit will detail four main implementation stages to follow when carrying out analysis of livestock and fish value chains, moving from tools for broad characterization at national level to more detailed and focused tools. The tools in the last stage will include information on ‘best bet’ monitoring, evaluation and learning.
Photo credit: ILRI","1 International Livestock Research Institute and KIT Royal Tropical Institute","Baltenweck, I, Poole, J., Galiè, A., Ouma, E.,  Marshall, K., Kruijssen, F.",0,"Explore the full paper-https://cgspace.cgiar.org/bitstream/handle/10568/105608/LF_VC_AssessmentToolkit_V2.pdf?sequence=1&amp;isAllowed=y",,,"Value Chains knowledge portal","Agribusiness profitability: market access",Livestock,"Empirical study","United Republic of Tanzania|India|Uganda","Innovations within the supply chain","SDG 1 - No Poverty",Livestock,"Primary production: livestock|Post-harvest: wholesale trade",Tool,1,"2023-01-10 09:49:10",theAdmin,2019-10-01T12:00:00+0000,,0,0,2138,https://www.kismfoodmarkets.org/node/2138,no,TZA|IND|UGA
"Women’s Empowerment in Agriculture Index for market inclusion in the value chain (Pro-WEAI+MI)","This survey-based tool monitors and evaluates women's and men's empowerment across the value chain, based on 12 indicators, expanding on the pro-WEAI.
 
Why is the tool important?
Many development agencies design and implement socially-inclusive agricultural interventions for the various people along agricultural value chains.
Monitoring and evaluating the success of these interventions requires tools that can identify the constraints facing women and men, and track empowerment across multiple stages of the value chain.
This tool expands on the pro-WEAI index.
 
Who is the tool for?
The tool is intended for researchers, practitioners, and academics.
Countries of focus: Bangladesh, Benin, Malawi and the Philippines
 
How can I use the tool?
The Women’s Empowerment in Agriculture Index (WEAI) and abbreviated WEAI (A-WEAI) focuse more on the production dimension of agriculture.
However, the project-level WEAI for market inclusion (pro-WEAI+MI) takes the tool one step further to measure empowerment across the value chain.
The tool includes the core project-level WEAI (pro-WEAI) module plus new indicators to investigate barriers to market access and inclusion for different value chain actors.
It also offers several optional indicators to assess the empowerment environment, including access to reliable sanitation and sexual hostility in the working environment. These additions increase pro-WEAI’s ability to measure and contextualize empowerment and inclusion across value chains.
The new tool was piloted in Bangladesh, the Philippines, Benin, and Malawi.
 
When and how was it developed?
IFPRI developed this tool in 2020 as an extension to the existing pro-WEAI module.
 
Links

WEAI Resource Center
Empowerment in agricultural value chains: Mixed methods evidence from the Phili…","International Food Policy Research Institute (IFPRI)","International Food Policy Research Institute",0,"Explore the full paper-https://ebrary.ifpri.org/utils/getfile/collection/p15738coll2/id/134345/filename/134544.pdf",,,"Value Chains knowledge portal","Agribusiness profitability: market access|Gender equality, youth and social inclusion",Grains,"Empirical study",Bangladesh|Benin|Malawi|Philippines,"Product or farm level","SDG 1 - No Poverty|SDG 5 - Gender Equality",Crops,"Primary production",Tool,1,"2023-01-09 16:10:47",theAdmin,2020-01-01T12:00:00+0000,,0,0,2137,https://www.kismfoodmarkets.org/node/2137,no,BGD|BEN|MWI|PHL
"LINK methodology: a participatory guide to business models that link smallholders to markets","Major corporations and multi-national companies have long struggled with how to connect with and include small-scale suppliers. Connecting these two groups – smallholder farms and emerging markets – requires creative solutions to allow benefits for both sides. The LINK Methodology has started to close the gap between companies (See the outcome story about Unilever’s international buyer guide) and these two groups but has immense room to grow to continue to impact emerging markets.
The LINK Methodology was developed as part of the New Business Models for Sustainable Trading Relationships Project, managed by the Sustainable Food Lab in collaboration with Catholic Relief Services (CRS), the International Center for Tropical Agriculture (CIAT), the International Institute for Environment and Development (IIED) and Rainforest Alliance (RA) with support from the Bill and Melinda Gates Foundation. 
This tool is mainly aimed at facilitators who mediate the processes previously mentioned between sellers and buyers. LINK can help your organisation facilitate a systematic learning process between actors from a selected value chain, and discover new opportunities for innovation, based on the application of a participatory toolkit, with four main tools:
1. The value chain map (used to understand the macro context of markets and the businesses which link rural producers with buyers).
2. The business model canvas (used to understand in more detail each business which links rural producers with buyers).
3. The New Business Model principles (used to determine whether each business which links rural producers with buyers is truly inclusive).
4. The prototype cycle (used to continuously improve the inclusivity of every business which links rural producers with buyers).
By the end of the process you will have understood the relationship between specific business models (buyer and seller) and the overall value chain; identified critical areas for improvement; designed, implemented, evaluated and improved on the innovation prototype for the business model you selected; and evaluated the effects of these changes on smallholder farmers and on the business itself.","International Center for Tropical Agriculture","Lundy, Mark, Hurtado Bermudez, Jhon Jairo, Becx, Gertjan, Zamierowski, Nancy, Rodríguez, Fernando, Mosquera Echeverry, Erika Eliana",0,"Explore the full paper-https://cgspace.cgiar.org/handle/10568/49606",,,"Value Chains knowledge portal","Agribusiness profitability: market access","Industrial crops: coffee|Fruits and vegetables|Industrial crops: cocoa","Empirical study",Colombia|Guatemala|Ecuador|Mexico|India|Peru,"Innovations within the supply chain: Inclusive business models","SDG 1 - No Poverty|SDG 5 - Gender Equality",Crops,"Post-harvest|Consumption|Primary production: crops",Tool,1,"2023-01-09 15:49:27",theAdmin,2014-11-01T12:00:00+0000,,0,0,2136,https://www.kismfoodmarkets.org/node/2136,no,COL|GTM|ECU|MEX|IND|PER
"Participatory market Chain Approach (PMCA) User Guide","The Participatory Market Chain Approach (PMCA) is a flexible R&D approach that engages small farmers, market agents, researchers, and other service providers in a facilitated collective action that aims at identifying and exploiting potential business opportunities that benefit small-scale producers and other chain actors. The approach was developed by the International Potato Center (CIP) and first applied in the Andes before spreading to SSA, Asia and other parts of the world.  
The PMCA offers a practical way to conduct R&D that supports pro-poor innovation in agricultural market chains. The approach brings the key stakeholders in an innovation process – including farmers, market agents, researchers, and other service providers – together to jointly identify, assess and exploit new business opportunities. Through this interaction, the PMCA triggers innovation processes. Experience indicates that the PMCA is most effective when implemented as part of a multi-pronged gender responsive initiative that includes support for farmer organizations, business development, policy change, and public awareness. When the PMCA is applied with appropriate complementary measures, it can assist smallholders improve their participation in dynamic markets and improve their livelihoods.","International Potato Center","Bernet, T, Thiele G., Zschocke, T.",0,"Explore the full paper-http://cipotato.org/wp-content/uploads/2014/09/003296.pdf",,,"Value Chains knowledge portal","Agribusiness profitability: market access|Gender equality, youth and social inclusion","Fruits and vegetables|Industrial crops: coffee","Empirical study","Peru|Albania|Bangladesh|Bolivia (Plurinational State of)|Indonesia|Nepal|Uganda","Innovations within the supply chain: Value chain infrastructure","SDG 1 - No Poverty",Crops,"Primary production: crops",Tool,1,"2023-01-09 13:55:09",theAdmin,2006-01-01T12:00:00+0000,,0,0,2135,https://www.kismfoodmarkets.org/node/2135,no,PER|ALB|BGD||IDN|NPL|UGA
"5 capitals: a tool for assessing the poverty impacts of value chain development","This tool seeks to help you address common shortcomings in value chain development (VCD) assessment by (1) Applying an asset-based approach; (2) Using impact pathways; (3) Harnessing the insights from multiscale and multidimensional analysis; (4) Promoting organizational learning. The tool has been tested in 20+ countries in South Asia, Africa, and Latin America and the Caribbean (LAC).
 
What is it good for?
5Capitals facilitates learning about the potential of value chain development (VCD) to strengthen rural livelihoods and improve business performance. Learning is derived from measuring and observing changes in various assets managed by smallholder households and the enterprises with which they have direct contact. These smallholder-linked enterprises play a critical role in linking smallholders to markets. Underpinning 5Capitals is the belief that the greater a household’s access to livelihood assets, such as human, social, natural, physical and financial capitals, the higher its well-being and resilience. Likewise, the greater a linked enterprise’s access to business assets, including human, social, physical and financial capitals, the greater its economic viability and performance. The tool helps users understand critical development issues, such as the extent to which preexisting asset endowments determine the outcomes of VCD, the relationship between asset building at the enterprise and household levels, and the role of market, political and institutional factors in facilitating or hindering favorable outcomes. The methodological framework underlying 5Capitals helps users separate the changes caused by interactions and interventions in value chains from those induced by the overall context.
Who is it for?
5Capitals aims to support the following types of organizations involved in VCD:

Funding agencies looking for more effective and efficient programs to reduce rural poverty through VCD
NGOs, consultants, government agencies and other organizations providing services to smallholders and businesses that want to deliver more impactful VCD interventions
Businesses engaged with smallholders that want to determine their contribution to poverty reduction and improve their social and environmental credentials
Certification bodies that seek to understand the contribution of voluntary standard systems to building more resilient smallholder production and livelihood systems

What are its salient features?
5Capitals stimulates learning among stakeholders and facilitates continuous improvement toward higher-impact interactions and interventions in value chains through the following:

An asset-based approach that considers changes in livelihood and business assets resulting from VCD, which in turn provide important insights into advances in poverty reduction and improved business performance
Impact pathways that provide a practical framework for selecting indicators and developing a theory of change related to asset building by smallholders and their enterprises
Multiscale and multidimensional analysis that considers the effects of multiple-source interventions on asset building at household and enterprise levels
Field-tested and validated methodological framework that incorporates lessons learned from 23 case studies from Africa, Asia, Latin America and North America
Focus on organizational learning that involves VCD stakeholders throughout the process and uses the findings to redesign VCD initiatives and reallocate resources accordingly

Publications
The following publications are based on the design or implementation of 5Capitals:

Donovan, J. and N. Poole. 2011. Value chain development and rural poverty reduction: Asset building by smallholder coffee producers in Nicaragua. ICRAF working paper  138. Nairobi: ICRAF;
Donovan, J. and N. Poole. 2013. Asset building in response to value chain development: Lessons from taro producers in Nicaragua. International Journal of Agricultural Sustainability 88 (1): 23-37;  
Gaming, H., S. Guardia, L. Pocasangre, and C. Staver. Farmers' community enterprise for marketing organic bananas from Alto Beni, Bolivia: Impacts and threats. Enterprise Development and Microfinance 22(3): 210-224;
Katerberg, L., A. Khan, and S. Ruddick. 2011. Evaluating value chain pact using a sustainable livelihoods approach: A case study of horticulture in Afghanistan. Enterprise Development and Microfinance 22(3): 225-240;
Stoian, D., J. Donovan, J. Fisk, and M. Muldoon. 2012. Value chain development for rural poverty reduction: A reality check and a warning. Enterprise Development and Microfinance 23(1): 54-69.

Photo credit: FAO ","Tropical agricultural research and higher education center (CATIE)","Donovan, J., Stoian, D.",0,"READ THE FULL PAPER-http://www.worldagroforestry.org/downloads/publications/PDFS/B17400.PDF",,,"Value Chains knowledge portal","Poverty reduction and livelihoods","Industrial crops: banana|Industrial crops: coffee","Empirical study","Bolivia (Plurinational State of)|El Salvador|Nicaragua|Sri Lanka","Innovations within the supply chain: Value chain infrastructure","SDG 1 - No Poverty",Crops,"Food services",Tool,1,"2023-01-06 11:50:25",soonho.kim,2012-01-01T12:00:00+0000,,0,0,2132,https://www.kismfoodmarkets.org/node/2132,no,|SLV|NIC|LKA
"45 actions to orient food
systems towards environmental sustainability: co-benefits and trade-offs","The article presents a menu of 45 actions that can be taken to increase the environmental sustainability of food systems. The actions are grouped into five domains, including land use in agriculture, environmental impact of farming, sustainability of wild fisheries and aquaculture, reduction of food loss and waste, and reorientation of diets and overall food demand.","The Centre for Food Policy at City, University of London","Caleffi, S., Hawkes C., Walton S.",0,"Explore More-https://researchcentres.city.ac.uk/__data/assets/pdf_file/0005/718646/45-actions-to-orient-food-systems-towards-environmental-sustainability-co-benefits-and-trade-offs.pdf",,,Other,"Poverty reduction and livelihoods|Other",,"Synthesis paper",Global,"Innovations in the enabling environment","SDG 12 - Responsible Production and Consumption|SDG 13 - Climate Action",Fisheries|Crops|Livestock,,Guideline,1,"2023-01-01 00:00:00",Anonymous,2023-01-01T12:00:00+0000,,0,0,2381,https://www.kismfoodmarkets.org/node/2381,no,
"Have food supply chain policies improved forest conservation and rural livelihoods? A systematic review","To address concerns about the negative impacts of food supply chains in forest regions, a growing number of companies have adopted policies to influence their suppliers' behaviors. With a focus on forest-risk food supply chains, we provide a systematic review of the conservation and livelihood outcomes of the mechanisms that companies use to implement their forest-focused supply chain policies (FSPs) - certifications, codes of conduct, and market exclusion mechanisms. More than half of the 37 cases that rigorously measure the outcomes of FSP implementation mechanisms find additional conservation and livelihood benefits resulting from the policies. Positive livelihood outcomes are more common than conservation additionality and most often pertain to improvements in farm income through increases in crop yields on coffee and cocoa farms that have adopted certifications or codes of conduct. However, in some cases certifications lead to a reduction in net household income as farmers increasingly specialize in the certified commodity and spend more on food purchases. Among the five cases that examine conservation and livelihoods simultaneously, there is no evidence of tradeoffs or synergies â€“ most often an improvement in one type of outcome is associated with no change in the other. Interactions with public conservation and agricultural policies influence the conservation gains achieved by all mechanisms, while the marketing attributes of cooperatives and buying companies play a large role in determining the livelihood outcomes associated with certification. Compliance with the forest requirements of FSP implementation mechanisms is high, but challenges to geospatial monitoring and land use related selection biases limit the overall benefits of these policies. Given the highly variable methods and limited evidence base, additional rigorous research across a greater variety of contexts is urgently needed to better understand if and when FSPs can be successful in achieving synergies between conservation and livelihoods.","IOP Science","Garrett, R. , Levy, S. ,  Gollnow, F.,  Hodel, L, Rueda, X.",0,"Full report-https://www.evidensia.eco/resources/1120/have-food-supply-chain-policies-improved-forest-conservation-and-rural-livelihoods-a-systematic-review/",,,"Evidensia platform","Climate change adaptation: restoration and afforestation|Climate mitigation: reforestation|Household income: labour income|Household income: farm income|Household income: livestock income|Climate adaptation and mitigation|Poverty reduction and livelihoods",,"Synthesis paper",Global,"Product or farm level: Product certification|Innovations within the supply chain: Procurement","SDG 1 - No Poverty|SDG 12 - Responsible Production and Consumption|SDG 15 - Life on Land",,"Primary production: crops|Primary production: livestock","Journal article",1,"2022-12-05 08:59:40",soonho.kim,2021-02-22T12:00:00+0000,,0,0,2085,https://www.kismfoodmarkets.org/node/2085,no,
"Solar Power to Transform Food Systems and Rural Livelihoods: Evidence from a Solar-Powered Cold Storage Intervention in Nigeria","In developing countries, a substantial amount of perishable and often highly nutritious commodities, such as fruits and vegetables, are lost after harvest, mainly caused by the lack of key infrastructures, such as electricity and cold chain facilities. On the other hand, the world has recently seen the potential of solar power in decarbonizing economies and transforming rural livelihoods in developing countries. A new technology, such as solar power photovoltaics, is highly divisible and, therefore, can be easily introduced to overcome the lack of sustainable electricity supply. In 2020–2021, we implemented an intervention to rebuild rural livelihoods in conflict-affected northeast Nigeria by building solar-powered cold storage facilities that can reduce food loss and increase consumption of perishable, micronutrient-rich horticulture products; increase incomes of market agents and producers; and improve employment. The intervention brought a significant increase in the number of days that horticulture products remain fresh, market sales for cold storage users, and the amount of vegetables available to the local population. Cost-benefit analysis showed a significant net economic gain in the long-run. Our example shows that a technological innovation, which overcomes the lack of an essential investment for development, can trigger economic transformation.",SpringerLink,"Yamauchi, F., Takeshima, H.",0,"Explore the full paper-https://link.springer.com/chapter/10.1007/978-981-19-5542-6_24",,,"Innovation for inclusive and sustainable growth of domestic food value chains","Community development and infrastructure","Fruits and vegetables","Empirical study",Nigeria,"Innovations in the enabling environment: Infrastructure development","SDG 10 - Reduce Inequalities",Services,"Post-harvest: storage","Journal article",1,"2022-12-02 13:26:14",theAdmin,2022-12-02T12:00:00+0000,,0,0,2170,https://www.kismfoodmarkets.org/node/2170,yes,NGA
"Towards sustainable cotton farming in India: validating the impact of Better Cotton on cotton farmers in India","This new study into the impact of the Better Cotton programme in India, conducted by Wageningen University and Research between 2019 and 2022, has found significant benefits for Better Cotton farmers in the region. The study explores how cotton farmers who implemented Better Cotton recommended agricultural practices achieved improvements in profitability, reduced synthetic input use, and overall sustainability in farming.
Summary by Evidensia Team","Wageningen University and Research","Haki Pamuk, Nina Motovska and Fedes van Rijn",0,,,https://www.kismfoodmarkets.org/sites/default/files/2022-12/towards-sustainable-cotton-farming-in-india-validating-the-impact-of-better-cotton-on-cotton-farmers-in-india.pdf,"Evidensia platform","Nutrition, health and food security",Grains,"Empirical study",India,"Product or farm level","SDG 12 - Responsible Production and Consumption",Crops,Pre-harvest,"Research report",1,"2022-12-01 12:22:48",theAdmin,2022-01-01T12:00:00+0000,,0,0,2084,https://www.kismfoodmarkets.org/node/2084,no,IND
"Small-scale producers in sustainable agrifood systems transformation","This paper analyzes the diversity of small-scale producers and demonstrates how understanding small-scale production can have consequences for how policies and investments are directed and how they impact small-scale producer livelihoods.","Food and Agriculture Organization of the United Nations (FAO)","Arulingam, I., Brady, G., Chaya, M., Conti, M., Kgomotso,
P. K., Korzenszky, A., Njie, D., Schroth, G., Suhardiman, D.",0,"Explore More-https://www.fao.org/documents/card/en/c/cc0821en",,,Other,"Household income: farm income|Agribusiness profitability: yields","Oilseeds & vegetable oils: soybeans|Oilseeds & vegetable oils: sesame|Fruits and vegetables: lychee","Synthesis paper",Global,"Innovations within the supply chain","SDG 1 - No Poverty|SDG 8 - Decent Work and Economic Growth|SDG 10 - Reduce Inequalities",,,"Research report",1,"2022-01-01 00:00:00",Anonymous,2022-01-01T12:00:00+0000,,0,0,2380,https://www.kismfoodmarkets.org/node/2380,no,
"Efectos de la cadena de valor del café en el desarrollo socioeconómico de los pequeños cafetaleros de Corquín, departamento de Copán-Honduras.","This research aimed to determine the effects of the coffee value chain on the socio-economic development of small coffee farmers in Corquin, Honduras, in order to propose participatory strategies that contribute to strengthening productivity and positioning the sector. The study concluded that it is important to continue promoting the development of coffee farmers through the integration of better training processes, support in terms of providing more inputs, and the opportunity for growth through product commercialization.","Ciencia Latina Revista Científica Multidisciplinar","Orellana, E. L.",0,"Explore More-https://ciencialatina.org/index.php/cienciala/article/view/3107/4601",,,Other,"Poverty reduction and livelihoods","Industrial crops: coffee","Empirical study",Honduras,"Innovations within the supply chain","SDG 8 - Decent Work and Economic Growth|SDG 1 - No Poverty",Crops,"Primary production: crops","Research report",1,"2022-01-01 00:00:00",Anonymous,2022-01-01T12:00:00+0000,,0,0,2387,https://www.kismfoodmarkets.org/node/2387,no,HND
"The impact and outcomes of sustainableintensification initiatives in six countries on women, men, and other social groupsA literature review","This study reviewed over 160 papers and reports in sustainable intensification, with a focus on the target countries of Malawi, Ghana, Ethiopia, Laos, Bangladesh and Nepal. It collected literature by carrying out searched with both scopus and google scholar with specific key words and combinations. This search focused on target regions and countries as well as social equity. Under “sustainable intensification”, we Saharan Africa produced 545. C obtained a list of 5493 papers. Sustainable intensification and gender yielded 58, SI in Sub ountry by country the papers were fewer and when gender and social equity were included, the number of papers were far fewer. For example, a broader search of gender transformative approaches and agriculture yields 56 papers. Because this search produced s o few on gender in particular, we also searched under specific researchers whose work is known for a gender focus. What is important about this search, is that it illustrated how little overall has been done to include gender and social equity issues in SI projects or analysis.","International Institute of Tropical Agriculture","Snyder, K. and Sulle, E.",0,"Explore More-https://cgspace.cgiar.org/bitstream/handle/10568/126943/SIInitiative%20gender%20literature%20review.pdf?sequence=5&amp;isAllowed=y",,,Other,"Poverty reduction and livelihoods|Household income: farm income",,"Synthesis paper","Malawi|Ghana|Ethiopia|Bangladesh|Lao People's Democratic Republic|Nepal","Product or farm level: Farm level technology / agronomic practices (GAPs)","SDG 1 - No Poverty|SDG 2 - Zero Hunger|SDG 10 - Reduce Inequalities",,"Primary production: crops","Research report",1,"2022-01-01 00:00:00",Anonymous,2022-01-01T12:00:00+0000,,0,0,2290,https://www.kismfoodmarkets.org/node/2290,no,MWI|GHA|ETH|BGD|LAO|NPL
"How food systems change (or not): Governance implications for system transformation processes","This paper argues that supporting food system transformation requires more than obtaining science-based understanding and analysis of how components in the system interact. We argue that changing the emergent properties of food systems (what we call food system synthesis) is a socio-political challenge that is affected by competing views regarding system boundaries and purposes, and limited possibilities for central steering and control. We point to different traditions of 'systems thinking' that each emphasize particular types of interventions for achieving system change, and argue that food systems are best looked at as complex multi-dimensional systems. This implies that we need to move beyond rational engineering approaches to system change, and look for approaches that anticipate and accommodate inherent social tensions and struggles in processes of changing food system dynamics and outcomes. Through a case study on the persistence of an undesired emergent property of food systems (i.e. poverty) we demonstrate that a multi-level perspective (MLP) on system transformation is useful in understanding both how food system transformation has happened in the past, and how desirable transformations is prevented from happening today. Based on such insights we point to key governance strategies and principles that may be used to influence food system transformation as a non-linear and long-term process of competition, negotiation and reconfiguration. Such strategies include the creation and nurturing of diversity in the system, as well as process interventions aimed at visioning, destabilization and formation of discourse coalitions. Such governance interventions imply a considerable re-orientation of investments in food system transformation as well as a rethinking of the role that policy-makers may play in either altering or reproducing undesirable system outcomes.",Springer,"Cees, L., Boogaard, B.K., Atta-Krah, K.",0,"Explore More-https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8211938/",,,Other,"Nutrition, health and food security",,"Synthesis paper",Global,"Innovations in the enabling environment: Sustainable development policies","SDG 1 - No Poverty|SDG 2 - Zero Hunger|SDG 10 - Reduce Inequalities",,,"Journal article",1,"2022-01-01 00:00:00",Anonymous,2022-01-01T12:00:00+0000,,0,0,2284,https://www.kismfoodmarkets.org/node/2284,no,
"Assessing the trade and welfare effects of certification schemes: The case of GlobalGAP in Ghana's mango sector","This study analyzes the trade and welfare effects of GlobalGAP certification using primary data collected from 224 mango farmers in Southern Ghana. The multivariate probit model and an endogenous switching regression (ESR) model are used to estimate the effects of certification on the choice of marketing channels, quantity sold and income. The results show that certified farmers are less likely to supply to local traders and more likely to sell to industrial processors and the export market. The study found that certification increased quantity sold to high-value markets by 12% for certified farmers. GlobalGAP certification also has the potential to increase income by 20% more for farmers who opt to be certified. The study recommends that government and development partners should contribute to the development of the technical and financial capacities of farmers in order to enhance farmers’ participation in certification schemes.",Elsevier,"Akrong, R., Akorsu, A.D., Jha, P., Agyenim, J.B.",0,,,,"Evidensia platform","Poverty reduction and livelihoods|Agribusiness profitability: market access|Agribusiness profitability: output prices","Fruits and vegetables: mango",,Ghana,"Product or farm level: Product certification","SDG 1 - No Poverty|SDG 8 - Decent Work and Economic Growth|SDG 12 - Responsible Production and Consumption",Crops,"Primary production: crops","Research report",1,"2022-01-01 00:00:00",Anonymous,2022-01-01T12:00:00+0000,,0,0,2154,https://www.kismfoodmarkets.org/node/2154,no,GHA
"Improving environmental outcomes along food supply chains: a review of initiatives and their effectiveness","This paper reviews initiatives which take a “supply chain lens” to improving environmental outcomes of food systems. Some of the initiatives focus on due diligence or ask firms to disclose impacts of their supply chain. This review demonstrates the strong growth and diversity of initiatives, bolstered by more clearly defined societal expectations and reporting standards, and leading to a greater availability of data and evidence and more universal reporting, reducing the scope for greenwashing. Despite their great promise, the paper finds there remain coverage gaps. Evidence on effectiveness also remains relatively scarce, although there is a clear increase in the number of empirical studies.","Organisation for Economic Co-operation and Development (OECD)","Deconinck, K., Hobeika, M.",0,"Explore More-https://www.evidensia.eco/resources/2163/improving-environmental-outcomes-along-food-supply-chains-a-review-of-initiatives-and-their-effectiveness/",,,"Evidensia platform",Other,,"Synthesis paper",Global,"Innovations within the supply chain","SDG 12 - Responsible Production and Consumption|SDG 13 - Climate Action|SDG 15 - Life on Land",Crops,,"Research report",1,"2022-01-01 00:00:00",Anonymous,2022-01-01T12:00:00+0000,,0,0,2393,https://www.kismfoodmarkets.org/node/2393,no,
"Better trade for sustainable development: the role of voluntary sustainability standards","This report discusses in-depth the possibilities and limitations of VSS to make international trade more sustainable, in particular with regards to developing countries development opportunities. It first introduces the key concepts of trade, global value chains, sustainable development, their interrelatedness and their importance for developing countries. It argues that global value chains can be governed in a way which enhances economic, social and environmental â€˜upgradingâ€™, i.e. a process by which negative social and environmental consequences are addressed in global value chains and which contributes to better protection of social and environmental standards. It shows that upgrading through the governance of global value chains directly allows producers in developing countries to access global markets and reap their potential benefits contributing in this way to economic development in developing countries.","UNCTAD (United Nations Conference on Trade and Development)","Marx, A., Dietz, T., Elamin, N.E.A., de Cordoba, S.F.",0,,,,"Evidensia platform","Poverty reduction and livelihoods|Agribusiness profitability: market access|Agribusiness profitability: sales|Agribusiness profitability: output prices",,"Synthesis paper",Global,"Product or farm level: Product certification","SDG 12 - Responsible Production and Consumption",Multi-sector,,"Research report",1,"2021-01-01 00:00:00",Anonymous,2021-01-01T12:00:00+0000,,0,0,2155,https://www.kismfoodmarkets.org/node/2155,no,
"Impact tracking: A practitioner-developed approach to scaling agricultural innovation in Ethiopia","This paper argues for more creativity and flexibility in agricultural research for development (AR4D) scaling and impact evaluation in complex contexts. While acknowledging the importance of setting reasonable end-of-project targets and outcomes, we argue that the achievement of outcomes and impacts, particularly in complex contexts, requires adaptive management and acknowledgment that significant positive outcomes and impacts may occur after the project funding cycle is complete. The paper presents a practitioner-developed approach to scaling AR4D innovations called Impact Tracking (IT). We illustrate IT in practice by presenting three case studies from Ethiopia in which IT proved crucial to achieving impact. The paper concludes by drawing lessons from the case studies and discussing what implications IT may have for development practitioners.","International Water Management Institute","Child, K., Desta, G., Douthwaite, B., Haileslassie, A., van Rooyen, A., Tamene, L., Uhlenbrook, S.",0,"Explore More-https://www.iwmi.cgiar.org/publications/wle-legacy-series/wle-legacy-series-1/",,,Other,"Poverty reduction and livelihoods|Household income: farm income",,"Empirical study",Ethiopia,"Innovations within the supply chain: Value chain infrastructure","SDG 1 - No Poverty|SDG 2 - Zero Hunger|SDG 10 - Reduce Inequalities",Crops,"Primary production: crops","Journal article",1,"2021-01-01 00:00:00",Anonymous,2021-01-01T12:00:00+0000,,0,0,2279,https://www.kismfoodmarkets.org/node/2279,no,ETH
"Determinants of market participation decision by smallholder haricot bean (phaseolus vulgaris l.) farmers in Northwest Ethiopia","Current knowledge on product marketing in Ethiopia is poor and inadequate for designing and implementing policies to overcome problems in the marketing system. This study was conducted to identify the factors influencing the market participation decision of smallholder haricot bean (Phaseolus vulgaris L.) farmers in Northwest Ethiopia. Survey data were collected from 312 smallholder farmers and analyzed using Heckman’s two-step econometric model that estimates probit model in the first step and regression model with the parameters estimated using the Ordinary Least Squares (OLS) method in the second step. The educational status, non-farm income from nonfarm employment, number of extension contacts, gender, improved seed use, chemical fertilizer, and farmers' perception of land degradation were the significant variables affecting the market participation decision of smallholder farmers. The amount of haricot bean output supplied to the market were influenced by age, experience, livestock holding, nonfarm income, extension contacts, gender, market access, and membership in marketing association. Participation in the market can be improved by providing training and education regarding the production and marketing of haricot bean output and increasing farmers' contact with extension agents.","Taylor and Francis","Andaregie, A., Astatkie, T., & Teshome, F.",0,"Explore More-https://www.tandfonline.com/doi/full/10.1080/23311932.2021.1879715",,,Other,"Poverty reduction and livelihoods|Household income: farm income","Pulses: beans","Empirical study",Ethiopia,"Innovations within the supply chain: Value chain infrastructure","SDG 1 - No Poverty|SDG 2 - Zero Hunger|SDG 8 - Decent Work and Economic Growth|SDG 10 - Reduce Inequalities",Crops,"Post-harvest: wholesale trade|Post-harvest: retail trade","Journal article",1,"2021-01-01 00:00:00",Anonymous,2021-01-01T12:00:00+0000,,0,0,2293,https://www.kismfoodmarkets.org/node/2293,no,ETH
